Accession_number,File_Present
NZ_CP013200,FALSE
NZ_CP013297,FALSE
NZ_CP013745,FALSE
NZ_CP014196,FALSE
NZ_CP015732,FALSE
NZ_CP015732.1,TRUE
NZ_CP017421,FALSE
NZ_CP017421.1,TRUE
NZ_CP019304.1,TRUE
NZ_CP029642,FALSE
NZ_CP029642.1,TRUE
NZ_CP03929,FALSE
NZ_CP039290,TRUE
NZ_CP040018,FALSE
NZ_CP040174,FALSE
NZ_CP040174.1,TRUE
NZ_CP042172,FALSE
NZ_JRLV01000001,TRUE
PDOB00000000,FALSE
PDOC00000000,FALSE
PIJF00000000,FALSE
PIJH00000000,FALSE
PPTH00000000,FALSE
PQID00000000,FALSE
PQX000000/PVQX01,FALSE
PRDA00000000,FALSE
PREV01000000,FALSE
PRJEB15092/FMDA01,FALSE
PRJEB15092/FMDB01,FALSE
PRJEB15092/FMDC01,FALSE
PRJEB15092/FMDD01,FALSE
PRJNA355122/ MSJD01,FALSE
PRJNA355122/ MSJE01,FALSE
PRJNA355122/ MSJF01,FALSE
PRJNA355122/ MSJG02,FALSE
PRJNA355122/ MSJH02,FALSE
PRJNA355122/ MSJI02,FALSE
PRJNA355122/ MSJJ02,FALSE
PRJNA355122/ MSJK01,FALSE
PRJNA579073A,FALSE
PRJNA579073B,FALSE
PRJNA579073C,FALSE
PRJNA579073D,FALSE
PRJNA579073E,FALSE
PRJNA579073F,FALSE
PRJNA579073G,FALSE
PRJNA579073H,FALSE
PRJNA579073I,FALSE
PRJNA579073J,FALSE
PRJNA579073K,FALSE
PRJNA579073L,FALSE
PRJNA579073M,FALSE
PRJNA579073N,FALSE
PRJNA579073O,FALSE
PRJNA579073P,FALSE
PRJNA579073Q,FALSE
PRJNA579073R,FALSE
PRJNA579073S,FALSE
PRJNA579073T,FALSE
PRJNA579073U,FALSE
PRJNA579073W,FALSE
PRKW00000000,FALSE
PRKX00000000,FALSE
PVME00000000/PVME01,FALSE
PVQJ00000000/PVQJ01,FALSE
PVQL00000000/PVQL01,FALSE
PVQM0000000/PVQM01`,FALSE
PVQN0000000/PVQN01,FALSE
PVQO0000000/PVQO01,FALSE
PVQP0000000/PVQP01,FALSE
PVQQ000000/PVQQ01,FALSE
PVQR000000/PVQR01,FALSE
PVQS000000/PVQS01,FALSE
PVQT000000/PVQT01,FALSE
PVQU000000/PVQU01,FALSE
PVQW000000/PVQW01,FALSE
PVQY000000/PVQY01,FALSE
PVQZ000000/PVQZ01,FALSE
PVRA00000000,FALSE
PVRB00000000,FALSE
PVRC00000000,FALSE
PVRD00000000,FALSE
PVRE00000000,FALSE
PVRF00000000,FALSE
PVRG00000000,FALSE
PVRH00000000,FALSE
PVRI00000000,FALSE
PVRIM0000000,FALSE
PVRIN00000000,FALSE
PVRJ00000000,FALSE
PVRK00000000,FALSE
PVRL00000000,FALSE
PVRO00000000,FALSE
PVRP00000000,FALSE
PVRQ00000000,FALSE
PVRR00000000,FALSE
PVRS00000000,FALSE
PVRT00000000,FALSE
PVRU00000000,FALSE
PVWA0000000,FALSE
PVWB0000000,FALSE
PVWC0000000,FALSE
PVWP0000000,FALSE
PVWX0000000,FALSE
PVWY0000000,FALSE
PXWF00000000,FALSE
QFAV00000000,FALSE
QFAW00000000,FALSE
QGMX00000000,FALSE
QNTT00000000,FALSE
QNTT01000000,FALSE
QNTU00000000,FALSE
QNTU01000000,FALSE
QNTV00000000,FALSE
QORI02000000,FALSE
QREZ00000000,FALSE
QWLM01000000,TRUE
RXLQ00000000,FALSE
VCIZ01000000,FALSE
VMDU00000000,FALSE
VTPS00000000,FALSE
VUOG00000000,FALSE
VUOH00000000,FALSE
VUOI00000000,FALSE
VUOJ00000000,FALSE
